type,content,optionA,optionB,optionC,optionD,standardAnswer,score,difficulty,tags,gradingRule.multiSelectScoring
single_choice,下列哪个是质数？,2,3,5,7,A,5,3,数学 基础,all_correct_full
single_choice,1+1=?,1,2,3,4,B,5,2,数学 基础,all_correct_full
single_choice,一元等于多少分？,10,50,100,20,C,2,1,金融 基础,all_correct_full
single_choice,下列哪个是偶数？,2,3,5,8,A,5,2,数学 基础,all_correct_full
single_choice,程序的入口点是？,main,program,function,start,B,5,3,编程 基础,all_correct_full
single_choice,HTTP 状态码 404 表示？,请求未找到,禁止访问,权限不足,服务器错误,A,5,3,网络 基础,all_correct_full
single_choice,下列哪个不是关系型数据库？,MySQL,Oracle,Excel,HTML,D,5,3,数据库 基础,all_correct_full
single_choice,下列哪个是前端框架？,React,Vue,Angular,Django,Ember,B,5,3,前端 基础,all_correct_full
single_choice,下列哪个是 CSS 预处理器？,SASS,LESS,PostCSS,Stylus,A,5,3,前端 基础,all_correct_full
single_choice,地球是圆的吗？,是,否,不确定,不知道,A,10,1,常识 基础,all_correct_full
single_choice,水是透明的吗？,是,否,不确定,不知道,A,10,1,常识 基础,all_correct_full
single_choice,太阳从东边升起吗？,是,否,不确定,不知道,A,10,1,常识 基础,all_correct_full
single_choice,月亮绕着地球公转吗？,是,否,不确定,不知道,B,10,2,常识 基础,all_correct_full
single_choice,一年有 365 天吗？,是,否,不确定,不知道,A,10,1,常识 基础,all_correct_full
single_choice,HTTP 是无状态协议吗？,是,否,不确定,不知道,A,5,2,网络 基础,all_correct_full
single_choice,SQL 是关系型数据库吗？,是,否,不确定,不知道,A,5,3,数据库 基础,all_correct_full
single_choice,JavaScript 是单线程的吗？,是,否,不确定,不知道,A,5,3,编程 基础,all_correct_full
single_choice,React 使用 Virtual DOM 优化渲染性能吗？,是,否,不确定,不知道,A,5,3,前端 基础,all_correct_full
single_choice,Node.js 适合 I/O 密集型应用吗？,是,否,不确定,不知道,A,5,3,Node.js 基础,all_correct_full
single_choice,Three.js 是 WebGL 框架吗？,是,否,不确定,不知道,A,5,3,前端 基础,all_correct_full
single_choice,Vite 支持 HMR (热模块替换)吗？,是,否,不确定,不知道,A,5,3,前端 基础,all_correct_full
single_choice,PostgreSQL 支持 JSONB 类型吗？,是,否,不确定,不知道,A,5,3,数据库 基础,all_correct_full
single_choice,JWT Token 比 Session Cookie 更安全吗？,是,否,不确定,不知道,B,5,3,认证 基础,all_correct_full
single_choice,Redis 可以用作消息队列吗？,是,否,不确定,不知道,A,5,3,数据库 基础,all_correct_full
single_choice,GraphQL 是 API 查询语言吗？,是,否,不确定,不知道,A,5,3,API 基础,all_correct_full
single_choice,下列哪个是前端框架？,Vue,React,Django,Angular,C,5,3,前端 基础,all_correct_full
single_choice,下列哪个是后端框架？,Express,Vue,React,Django,B,5,3,后端 基础,all_correct_full
single_choice,下列哪个是前端框架？,Angular,Django,Spring Boot,Laravel,B,5,3,前端 基础,all_correct_full
single_choice,下列哪个是后端框架？,Spring Boot,Vue,React,Angular,A,5,3,后端 基础,all_correct_full
single_choice,下列哪个是前端框架？,React,Spring Boot,Django,Laravel,A,5,3,前端 基础,all_correct_full
single_choice,下列哪个是后端框架？,Django,Vue,React,Angular,A,5,3,后端 基础,all_correct_full
single_choice,下列哪个是前端框架？,Vue,React,Angular,Django,D,5,3,前端 基础,all_correct_full
single_choice,下列哪个是后端框架？,Laravel,Vue,React,Angular,A,5,3,后端 基础,all_correct_full
single_choice,下列哪个是前端框架？,React,Angular,Vue,Django,A,5,3,前端 基础,all_correct_full
single_choice,下列哪个是后端框架？,Express,Vue,React,Angular,B,5,3,后端 基础,all_correct_full
single_choice,2+2=?,2,3,4,5,C,5,1,数学 基础,all_correct_full
